
   INFO  Server running on [http://10.255.1.41:8001].  

  Press Ctrl+C to stop the server
  2026-01-07 11:02:14 /assets/css/app.css .......................... ~ 0.49ms
  2026-01-07 11:02:15 /assets/images/logo.png ...................... ~ 0.46ms
  2026-01-07 11:08:37 /dashboard/new_users ............................. ~ 1s
  2026-01-07 11:08:39 /assets/css/app.css .......................... ~ 0.59ms
  2026-01-07 11:08:39 /assets/images/logo.png ...................... ~ 0.36ms
  2026-01-07 11:08:40 /dashboard ....................................... ~ 1s
  2026-01-07 11:08:41 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 11:08:41 /assets/images/logo.png ...................... ~ 0.24ms
  2026-01-07 11:14:50 /dashboard ................................... ~ 0.53ms
  2026-01-07 11:14:50 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 11:14:50 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 11:15:03 /dashboard ................................... ~ 0.54ms
  2026-01-07 11:15:03 /assets/css/app.css .......................... ~ 0.27ms
  2026-01-07 11:15:03 /assets/images/logo.png ...................... ~ 0.23ms
  2026-01-07 11:15:14 /dashboard ................................... ~ 0.57ms
  2026-01-07 11:15:14 /assets/css/app.css .......................... ~ 0.22ms
  2026-01-07 11:15:14 /assets/images/logo.png ...................... ~ 0.32ms
  2026-01-07 11:15:25 /dashboard ................................... ~ 0.55ms
  2026-01-07 11:15:25 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 11:15:25 /assets/images/logo.png ...................... ~ 0.31ms
  2026-01-07 11:15:38 /dashboard ................................... ~ 0.52ms
  2026-01-07 11:15:39 /assets/css/app.css .......................... ~ 0.53ms
  2026-01-07 11:15:39 /assets/images/logo.png ...................... ~ 0.37ms
  2026-01-07 11:16:03 /dashboard ................................... ~ 0.53ms
  2026-01-07 11:16:03 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 11:16:03 /assets/images/logo.png ...................... ~ 0.41ms
  2026-01-07 11:16:09 /dashboard ................................... ~ 0.58ms
  2026-01-07 11:16:09 /assets/css/app.css .......................... ~ 0.37ms
  2026-01-07 11:16:09 /assets/images/logo.png ...................... ~ 0.32ms
  2026-01-07 11:17:15 /dashboard ................................... ~ 0.54ms
  2026-01-07 11:17:15 /assets/css/app.css .......................... ~ 0.37ms
  2026-01-07 11:17:15 /assets/images/logo.png ...................... ~ 0.20ms
  2026-01-07 11:23:18 /dashboard ................................... ~ 0.54ms
  2026-01-07 11:23:18 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 11:23:18 /assets/images/logo.png ...................... ~ 0.36ms
  2026-01-07 11:27:35 /dashboard ................................... ~ 0.50ms
  2026-01-07 11:27:35 /assets/css/app.css .......................... ~ 0.58ms
  2026-01-07 11:27:35 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 11:27:37 /dashboard/new_users ............................. ~ 1s
  2026-01-07 11:27:38 /assets/css/app.css .......................... ~ 0.57ms
  2026-01-07 11:27:38 /assets/images/logo.png ...................... ~ 0.33ms
  2026-01-07 11:43:35 /dashboard ................................... ~ 2.12ms
  2026-01-07 11:43:35 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 11:43:35 /assets/images/logo.png ...................... ~ 0.29ms
  2026-01-07 11:43:37 /dashboard/new_users ....................... ~ 500.92ms
  2026-01-07 11:43:52 /dashboard ................................... ~ 0.56ms
  2026-01-07 11:43:52 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 11:43:52 /assets/images/logo.png ...................... ~ 0.31ms
  2026-01-07 11:43:54 /dashboard/new_users/date .................... ~ 0.49ms
  2026-01-07 11:43:54 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 11:43:54 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 11:44:15 /dashboard/new_users/date .................. ~ 500.98ms
  2026-01-07 11:44:15 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 11:44:15 /assets/images/logo.png ...................... ~ 0.79ms
  2026-01-07 11:44:22 /dashboard/new_users/date .................... ~ 0.54ms
  2026-01-07 11:44:23 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 11:44:23 /assets/images/logo.png ...................... ~ 0.51ms
  2026-01-07 11:44:33 /dashboard/new_users/date ........................ ~ 1s
  2026-01-07 11:44:34 /assets/css/app.css .......................... ~ 0.36ms
  2026-01-07 11:44:34 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 11:44:41 /dashboard/new_users/date .................. ~ 500.99ms
  2026-01-07 11:44:42 /assets/css/app.css .......................... ~ 0.35ms
